,mean,std,2.5q,25q,50q,75q,97.5q,mc err,,
v_condition_subj.9.0,0.04904435,0.068721058,-0.083692945,0.002647541,0.048565,0.094636751,0.186488116,0.000339547,,
v_condition_subj.10.0,-0.074859497,0.059078585,-0.189817108,-0.114987334,-0.074913057,-0.034825974,0.041331169,0.000258254,,
v_condition_subj.11.0,0.054014739,0.069671349,-0.080991154,0.00646715,0.053867416,0.100320866,0.192235498,0.000319968,,
v_condition_subj.12.0,-0.084493564,0.066369042,-0.215173501,-0.129179049,-0.084181352,-0.039228992,0.044152395,0.000317878,,
v_condition_subj.13.0,-0.010800721,0.086248866,-0.178348331,-0.068968273,-0.011703062,0.046879009,0.159056789,0.000407006,,
v_condition_subj.14.0,0.03667401,0.069390279,-0.098561174,-0.01034482,0.035974382,0.082914018,0.174799697,0.000295908,,
v_condition_subj.15.0,-0.002184427,0.084662031,-0.165771355,-0.059432665,-0.003194559,0.053897028,0.166181701,0.000408807,,
v_condition_subj.16.0,-0.010620346,0.065387045,-0.139165247,-0.05448221,-0.010487248,0.032717738,0.117865773,0.000276867,,
v_condition_subj.17.0,-0.067165654,0.08334031,-0.232057414,-0.123135062,-0.067139074,-0.011161601,0.09581826,0.000330772,,
v_condition_subj.18.0,-0.016778867,0.07084252,-0.155171784,-0.064725316,-0.016766945,0.030551127,0.123449271,0.000296184,,
v_condition_subj.20.0,-0.00202222,0.075917985,-0.150013755,-0.053441587,-0.002386861,0.048169013,0.148629341,0.00029945,,
